"index","Store","Date","Temperature","Fuel_Price","IsHoliday"
"1",1,"2010-02-05",42.31,2.572,FALSE
"2",1,"2010-02-12",38.51,2.548,TRUE
"3",1,"2010-02-19",39.93,2.514,FALSE
"4",1,"2010-02-26",46.63,2.561,FALSE
"5",1,"2010-03-05",46.5,2.625,FALSE
"6",1,"2010-03-12",57.79,2.667,FALSE
"7",1,"2010-03-19",54.58,2.72,FALSE
"8",1,"2010-03-26",51.45,2.732,FALSE
"9",1,"2010-04-02",62.27,2.719,FALSE
"10",1,"2010-04-09",65.86,2.77,FALSE
"11",1,"2010-04-16",66.32,2.808,FALSE
"12",1,"2010-04-23",64.84,2.795,FALSE
"13",1,"2010-04-30",67.41,2.78,FALSE
"14",1,"2010-05-07",72.55,2.835,FALSE
"15",1,"2010-05-14",74.78,2.854,FALSE
"16",1,"2010-05-21",76.44,2.826,FALSE
"17",1,"2010-05-28",80.44,2.759,FALSE
"18",1,"2010-06-04",80.69,2.705,FALSE
"19",1,"2010-06-11",80.43,2.668,FALSE
"20",1,"2010-06-18",84.11,2.637,FALSE
"21",1,"2010-06-25",84.34,2.653,FALSE
"22",1,"2010-07-02",80.91,2.669,FALSE
"23",1,"2010-07-09",80.48,2.642,FALSE
"24",1,"2010-07-16",83.15,2.623,FALSE
"25",1,"2010-07-23",83.36,2.608,FALSE
"26",1,"2010-07-30",81.84,2.64,FALSE
"27",1,"2010-08-06",87.16,2.627,FALSE
"28",1,"2010-08-13",87,2.692,FALSE
"29",1,"2010-08-20",86.65,2.664,FALSE
"30",1,"2010-08-27",85.22,2.619,FALSE
"31",1,"2010-09-03",81.21,2.577,FALSE
"32",1,"2010-09-10",78.69,2.565,TRUE
"33",1,"2010-09-17",82.11,2.582,FALSE
"34",1,"2010-09-24",80.94,2.624,FALSE
"35",1,"2010-10-01",71.89,2.603,FALSE
"36",1,"2010-10-08",63.93,2.633,FALSE
"37",1,"2010-10-15",67.18,2.72,FALSE
"38",1,"2010-10-22",69.86,2.725,FALSE
"39",1,"2010-10-29",69.64,2.716,FALSE
